timestamp,run,function,duration,prompt_tokens,completion_tokens,model,max_tokens,temperature
14942.165083169937,0,callOpenai,14744.56650018692,15,128,gpt-4,128,0.01
19995.12454199791,0,callCommonbase,5052.665583848953,15,128,gpt-4,128,0.01
33160.08504199982,1,callOpenai,13164.55070900917,15,128,gpt-4,128,0.01
39247.63333296776,1,callCommonbase,6087.347165822983,15,128,gpt-4,128,0.01
55327.50616693497,2,callOpenai,16079.35866689682,15,128,gpt-4,128,0.01
59715.53479194641,2,callCommonbase,4387.864624977112,15,104,gpt-4,128,0.01
72926.75245809555,3,callOpenai,13210.799207925797,15,128,gpt-4,128,0.01
77326.6623749733,3,callCommonbase,4399.657083034515,15,128,gpt-4,128,0.01
81530.63054203987,4,callCommonbase,4203.242542028427,15,128,gpt-4,128,0.01
94868.73924994469,4,callOpenai,13337.916916847229,15,128,gpt-4,128,0.01
98528.02916693687,5,callCommonbase,3659.050041913986,15,128,gpt-4,128,0.01
111119.67070794106,5,callOpenai,12591.268290996552,15,128,gpt-4,128,0.01
115577.40529203415,6,callCommonbase,4457.17445898056,15,128,gpt-4,128,0.01
128881.78554201126,6,callOpenai,13304.164375066757,15,128,gpt-4,128,0.01
133867.1860420704,7,callCommonbase,4985.037833929062,15,128,gpt-4,128,0.01
145276.60533308983,7,callOpenai,11409.184041023254,15,119,gpt-4,128,0.01
149726.24604201317,8,callCommonbase,4449.10662484169,15,128,gpt-4,128,0.01
163347.7018749714,8,callOpenai,13621.214624881744,15,128,gpt-4,128,0.01
176865.84070801735,9,callOpenai,13517.71499991417,15,128,gpt-4,128,0.01
181567.35654211044,9,callCommonbase,4701.185042142868,15,128,gpt-4,128,0.01
187610.49691700935,10,callCommonbase,6042.5934998989105,15,128,gpt-4,128,0.01
205219.60783314705,10,callOpenai,17608.928750038147,15,128,gpt-4,128,0.01
209784.53733301163,11,callCommonbase,4564.645665884018,15,128,gpt-4,128,0.01
220025.93008303642,11,callOpenai,10241.218832969666,15,128,gpt-4,128,0.01
231949.2234170437,12,callOpenai,11922.943958997726,15,128,gpt-4,128,0.01
237376.70912504196,12,callCommonbase,5427.203291893005,15,128,gpt-4,128,0.01
248607.132791996,13,callOpenai,11229.9828748703,15,128,gpt-4,128,0.01
253979.92641711235,13,callCommonbase,5372.623459100723,15,128,gpt-4,128,0.01
258602.37404203415,14,callCommonbase,4621.998333930969,15,128,gpt-4,128,0.01
270050.56895804405,14,callOpenai,11448.01737499237,15,128,gpt-4,128,0.01
282638.6018331051,15,callOpenai,12587.344041109085,15,128,gpt-4,128,0.01
286835.3696670532,15,callCommonbase,4196.654208898544,15,128,gpt-4,128,0.01
290489.6394171715,16,callCommonbase,3654.071417093277,15,128,gpt-4,128,0.01
304170.27358293533,16,callOpenai,13680.456499814987,15,128,gpt-4,128,0.01
317654.47033309937,17,callOpenai,13483.691375017166,15,128,gpt-4,128,0.01
323084.44708299637,17,callCommonbase,5429.76158285141,15,128,gpt-4,128,0.01
334655.6408331394,18,callOpenai,11570.824750185013,15,128,gpt-4,128,0.01
341328.89920806885,18,callCommonbase,6673.153583049774,15,104,gpt-4,128,0.01
354839.05666708946,19,callOpenai,13509.685542106628,15,128,gpt-4,128,0.01
360563.25304198265,19,callCommonbase,5724.101874828339,15,128,gpt-4,128,0.01
365371.66837501526,20,callCommonbase,4808.128582954407,15,128,gpt-4,128,0.01
378277.79291701317,20,callOpenai,12905.888249874115,15,128,gpt-4,128,0.01
390360.27691698074,21,callOpenai,12081.159124851227,15,128,gpt-4,128,0.01
396205.1997079849,21,callCommonbase,5844.748374938965,15,128,gpt-4,128,0.01
407977.3775420189,22,callOpenai,11771.745749950409,15,128,gpt-4,128,0.01
414529.62024998665,22,callCommonbase,6551.881458044052,15,128,gpt-4,128,0.01
419539.99987506866,23,callCommonbase,5010.1317501068115,15,128,gpt-4,128,0.01
432956.3885419369,23,callOpenai,13416.258874893188,15,128,gpt-4,128,0.01
437715.58312511444,24,callCommonbase,4759.0171251297,15,128,gpt-4,128,0.01
452315.6908750534,24,callOpenai,14599.79312491417,15,128,gpt-4,128,0.01
458054.1325831413,25,callCommonbase,5738.096708059311,15,128,gpt-4,128,0.01
470145.3260419369,25,callOpenai,12090.885249853134,15,128,gpt-4,128,0.01
475176.57908296585,26,callCommonbase,5030.918915987015,15,128,gpt-4,128,0.01
486510.7369580269,26,callOpenai,11334.0291659832,15,128,gpt-4,128,0.01
492964.9902501106,27,callCommonbase,6454.06575012207,15,128,gpt-4,128,0.01
505005.64458298683,27,callOpenai,12040.54508304596,15,128,gpt-4,128,0.01
519725.04841709137,28,callOpenai,14719.219417095184,15,128,gpt-4,128,0.01
524570.7819581032,28,callCommonbase,4845.564375162125,15,128,gpt-4,128,0.01
529629.1760420799,29,callCommonbase,5057.979542016983,15,128,gpt-4,128,0.01
544577.7244579792,29,callOpenai,14948.234499931335,15,128,gpt-4,128,0.01
550823.5698330402,30,callCommonbase,6245.38929104805,15,128,gpt-4,128,0.01
563476.1252501011,30,callOpenai,12652.293041944504,15,128,gpt-4,128,0.01
576111.4527921677,31,callOpenai,12634.936334133148,15,128,gpt-4,128,0.01
581029.318500042,31,callCommonbase,4917.6340000629425,15,104,gpt-4,128,0.01
595383.6637079716,32,callOpenai,14354.122540950775,15,128,gpt-4,128,0.01
600122.6518330574,32,callCommonbase,4738.690916061401,15,128,gpt-4,128,0.01
604232.81529212,33,callCommonbase,4108.671250104904,15,128,gpt-4,128,0.01
618816.467167139,33,callOpenai,14583.53204202652,15,128,gpt-4,128,0.01
631774.8372499943,34,callOpenai,12957.963417053223,15,128,gpt-4,128,0.01
637861.1853749752,34,callCommonbase,6086.105582952499,15,128,gpt-4,128,0.01
642881.9398331642,35,callCommonbase,5020.349500179291,15,128,gpt-4,128,0.01
658650.1629581451,35,callOpenai,15767.980333089828,15,128,gpt-4,128,0.01
674010.3000831604,36,callOpenai,15359.729500055313,15,128,gpt-4,128,0.01
680022.4179170132,36,callCommonbase,6011.891041994095,15,128,gpt-4,128,0.01
684863.4655001163,37,callCommonbase,4840.651208162308,15,128,gpt-4,128,0.01
698900.0392920971,37,callOpenai,14036.316209077835,15,128,gpt-4,128,0.01
705121.0119581223,38,callCommonbase,6220.810040950775,15,128,gpt-4,128,0.01
718603.8905830383,38,callOpenai,13482.65166592598,15,128,gpt-4,128,0.01
