timestamp,run,function,duration,prompt_tokens,completion_tokens,model,max_tokens,temperature
1590.1455421447754,0,callOpenai,1340.0373752117157,11,1,gpt-4,1,0.01
2227.915041923523,0,callCommonbase,637.5587918758392,11,1,gpt-4,1,0.01
3246.232833147049,1,callOpenai,1018.0223331451416,11,1,gpt-4,1,0.01
3552.539417028427,1,callCommonbase,304.94662499427795,11,1,gpt-4,1,0.01
3968.1133329868317,2,callCommonbase,415.31320786476135,11,1,gpt-4,1,0.01
5218.360542058945,2,callOpenai,1249.91029214859,11,1,gpt-4,1,0.01
5535.056582927704,3,callCommonbase,316.5074579715729,11,1,gpt-4,1,0.01
6009.838333129883,3,callOpenai,474.59825015068054,11,1,gpt-4,1,0.01
6839.882957935333,4,callOpenai,829.5871658325195,11,1,gpt-4,1,0.01
7089.840791940689,4,callCommonbase,249.81254196166992,11,1,gpt-4,1,0.01
7555.53145813942,5,callCommonbase,465.3347911834717,11,1,gpt-4,1,0.01
8181.038749933243,5,callOpenai,625.2731668949127,11,1,gpt-4,1,0.01
8472.126583099365,6,callCommonbase,290.5700001716614,11,1,gpt-4,1,0.01
9479.334125041962,6,callOpenai,1006.9605419635773,11,1,gpt-4,1,0.01
9804.14316701889,7,callCommonbase,324.4424591064453,11,1,gpt-4,1,0.01
10425.857042074203,7,callOpenai,621.4069590568542,11,1,gpt-4,1,0.01
11029.787874937057,8,callOpenai,603.4444580078125,11,1,gpt-4,1,0.01
11248.962832927704,8,callCommonbase,219.05212497711182,11,1,gpt-4,1,0.01
11546.152832984924,9,callCommonbase,296.44320797920227,11,1,gpt-4,1,0.01
12262.413166999817,9,callOpenai,716.0193340778351,11,1,gpt-4,1,0.01
12874.862250089645,10,callOpenai,612.0643751621246,11,1,gpt-4,1,0.01
13282.381042003632,10,callCommonbase,407.289666891098,11,1,gpt-4,1,0.01
14671.435374975204,11,callOpenai,1388.8975830078125,11,1,gpt-4,1,0.01
14973.162374973297,11,callCommonbase,300.83062505722046,11,1,gpt-4,1,0.01
15331.830208063126,12,callCommonbase,358.3500831127167,11,1,gpt-4,1,0.01
15758.270499944687,12,callOpenai,426.091166973114,11,1,gpt-4,1,0.01
16049.465500116348,13,callCommonbase,290.9212920665741,11,1,gpt-4,1,0.01
